concept_id_1,concept_id_2,relationship_id,valid_start_DATE,valid_end_DATE,invalid_reason
2000003069,4022792,Maps to,1970-01-01,2099-12-31,
2000010663,40164921,Maps to,1970-01-01,2099-12-31,
2000020189,38001595,Maps to,1970-01-01,2099-12-31,
2000020866,38001445,Maps to,1970-01-01,2099-12-31,
2000020336,38001223,Maps to,1970-01-01,2099-12-31,
2000003017,4049832,Maps to,1970-01-01,2099-12-31,
2000020900,38000914,Maps to,1970-01-01,2099-12-31,
2000020142,38001364,Maps to,1970-01-01,2099-12-31,
2000010230,19129680,Maps to,1970-01-01,2099-12-31,
2000028012,4035113,Maps to,1970-01-01,2099-12-31,
2000030068,3016723,Maps to,1970-01-01,2099-12-31,
2000020367,38001550,Maps to,1970-01-01,2099-12-31,
2000001232,3028907,Maps to,1970-01-01,2099-12-31,
2000020255,38001238,Maps to,1970-01-01,2099-12-31,
2000010986,40236501,Maps to,1970-01-01,2099-12-31,
2000020896,38001462,Maps to,1970-01-01,2099-12-31,
2000010054,19124373,Maps to,1970-01-01,2099-12-31,
2000002003,4132161,Maps to,1970-01-01,2099-12-31,
2000011166,1361711,Maps to,1970-01-01,2099-12-31,
2000010736,19005335,Maps to,1970-01-01,2099-12-31,
2000020583,38001177,Maps to,1970-01-01,2099-12-31,
2000020017,38001112,Maps to,1970-01-01,2099-12-31,
2000011223,40232427,Maps to,1970-01-01,2099-12-31,
2000020423,38001285,Maps to,1970-01-01,2099-12-31,
2000010901,40167021,Maps to,1970-01-01,2099-12-31,
2000001621,4148511,Maps to,1970-01-01,2099-12-31,
2000011392,40221385,Maps to,1970-01-01,2099-12-31,
2000010850,21149250,Maps to,1970-01-01,2099-12-31,
2000020373,38001197,Maps to,1970-01-01,2099-12-31,
2000001128,3018367,Maps to,1970-01-01,2099-12-31,
2000010437,989485,Maps to,1970-01-01,2099-12-31,
2000026348,4198244,Maps to,1970-01-01,2099-12-31,
2000020388,38000939,Maps to,1970-01-01,2099-12-31,
2000010243,904526,Maps to,1970-01-01,2099-12-31,
2000010975,40226428,Maps to,1970-01-01,2099-12-31,
2000026344,4264368,Maps to,1970-01-01,2099-12-31,
2000031014,316135,Maps to,1970-01-01,2099-12-31,
2000011064,1710656,Maps to,1970-01-01,2099-12-31,
2000020428,38001281,Maps to,1970-01-01,2099-12-31,
2000028030,4024963,Maps to,1970-01-01,2099-12-31,
2000025529,4122251,Maps to,1970-01-01,2099-12-31,
2000001065,3000764,Maps to,1970-01-01,2099-12-31,
2000001248,3015736,Maps to,1970-01-01,2099-12-31,
2000030127,3016251,Maps to,1970-01-01,2099-12-31,
2000025511,4122251,Maps to,1970-01-01,2099-12-31,
2000026141,4093927,Maps to,1970-01-01,2099-12-31,
2000020450,38001030,Maps to,1970-01-01,2099-12-31,
2000010017,19129683,Maps to,1970-01-01,2099-12-31,
2000026162,4302157,Maps to,1970-01-01,2099-12-31,
2000010197,19129473,Maps to,1970-01-01,2099-12-31,
2000026182,4099188,Maps to,1970-01-01,2099-12-31,
2000001144,3028400,Maps to,1970-01-01,2099-12-31,
2000010127,19117210,Maps to,1970-01-01,2099-12-31,
2000020469,38001272,Maps to,1970-01-01,2099-12-31,
2000010126,42903220,Maps to,1970-01-01,2099-12-31,
2000011240,19023210,Maps to,1970-01-01,2099-12-31,
2000026224,4211809,Maps to,1970-01-01,2099-12-31,
2000020495,38001483,Maps to,1970-01-01,2099-12-31,
2000011106,19119236,Maps to,1970-01-01,2099-12-31,
2000010131,19038877,Maps to,1970-01-01,2099-12-31,
2000004103,4141149,Maps to,1970-01-01,2099-12-31,
2000010966,46233975,Maps to,1970-01-01,2099-12-31,
2000020342,38001172,Maps to,1970-01-01,2099-12-31,
2000028032,4165398,Maps to,1970-01-01,2099-12-31,
2000004054,4305794,Maps to,1970-01-01,2099-12-31,
2000025556,4119387,Maps to,1970-01-01,2099-12-31,
2000003035,4148369,Maps to,1970-01-01,2099-12-31,
2000010601,957140,Maps to,1970-01-01,2099-12-31,
2000020580,38001177,Maps to,1970-01-01,2099-12-31,
2000011030,1139058,Maps to,1970-01-01,2099-12-31,
2000020041,38001081,Maps to,1970-01-01,2099-12-31,
2000020806,38001354,Maps to,1970-01-01,2099-12-31,
2000010787,42898296,Maps to,1970-01-01,2099-12-31,
2000020769,45877385,Maps to,1970-01-01,2099-12-31,
2000020794,38000993,Maps to,1970-01-01,2099-12-31,
2000031020,4088998,Maps to,1970-01-01,2099-12-31,
2000020265,38001239,Maps to,1970-01-01,2099-12-31,
2000032012,4141820,Maps to,1970-01-01,2099-12-31,
2000001852,4148516,Maps to,1970-01-01,2099-12-31,
2000020149,38001485,Maps to,1970-01-01,2099-12-31,
2000011038,36250148,Maps to,1970-01-01,2099-12-31,
2000030101,3025019,Maps to,1970-01-01,2099-12-31,
2000001706,8615,Maps to,1970-01-01,2099-12-31,
2000000006,2000000006,Maps to,1970-01-01,2099-12-31,
2000010573,43653663,Maps to,1970-01-01,2099-12-31,
2000010314,968426,Maps to,1970-01-01,2099-12-31,
2000029034,8876,Maps to,1970-01-01,2099-12-31,
2000004051,42689574,Maps to,1970-01-01,2099-12-31,
2000011186,19120813,Maps to,1970-01-01,2099-12-31,
2000010853,1373928,Maps to,1970-01-01,2099-12-31,
2000001151,40771130,Maps to,1970-01-01,2099-12-31,
2000026087,4261846,Maps to,1970-01-01,2099-12-31,
2000020375,38001195,Maps to,1970-01-01,2099-12-31,
2000020104,38001138,Maps to,1970-01-01,2099-12-31,
2000001050,3008295,Maps to,1970-01-01,2099-12-31,
2000010609,984232,Maps to,1970-01-01,2099-12-31,
2000020229,38000905,Maps to,1970-01-01,2099-12-31,
2000001216,3041408,Maps to,1970-01-01,2099-12-31,
2000026328,4308865,Maps to,1970-01-01,2099-12-31,
2000020826,38000912,Maps to,1970-01-01,2099-12-31,
2000010297,19031909,Maps to,1970-01-01,2099-12-31,
2000011326,989878,Maps to,1970-01-01,2099-12-31,
2000010990,994123,Maps to,1970-01-01,2099-12-31,
2000010817,19079048,Maps to,1970-01-01,2099-12-31,
2000010753,40169442,Maps to,1970-01-01,2099-12-31,
2000004088,4048955,Maps to,1970-01-01,2099-12-31,
2000020873,38000959,Maps to,1970-01-01,2099-12-31,
2000011286,19080281,Maps to,1970-01-01,2099-12-31,
2000031004,21499419,Maps to,1970-01-01,2099-12-31,
2000020385,38000939,Maps to,1970-01-01,2099-12-31,
2000010345,40165183,Maps to,1970-01-01,2099-12-31,
2000030157,3012888,Maps to,1970-01-01,2099-12-31,
2000020441,38001399,Maps to,1970-01-01,2099-12-31,
2000011342,1523321,Maps to,1970-01-01,2099-12-31,
2000025026,3009314,Maps to,1970-01-01,2099-12-31,
2000020604,38001475,Maps to,1970-01-01,2099-12-31,
2000030121,3014080,Maps to,1970-01-01,2099-12-31,
2000010747,19086383,Maps to,1970-01-01,2099-12-31,
2000020745,38001023,Maps to,1970-01-01,2099-12-31,
2000026081,4299363,Maps to,1970-01-01,2099-12-31,
2000004087,4078442,Maps to,1970-01-01,2099-12-31,
2000001068,3018954,Maps to,1970-01-01,2099-12-31,
2000011043,19047817,Maps to,1970-01-01,2099-12-31,
2000010452,19120966,Maps to,1970-01-01,2099-12-31,
2000010219,19102199,Maps to,1970-01-01,2099-12-31,
2000001074,3011965,Maps to,1970-01-01,2099-12-31,
2000010868,907879,Maps to,1970-01-01,2099-12-31,
2000020811,38000926,Maps to,1970-01-01,2099-12-31,
2000026189,4149104,Maps to,1970-01-01,2099-12-31,
2000026359,4239076,Maps to,1970-01-01,2099-12-31,
2000010464,19122308,Maps to,1970-01-01,2099-12-31,
2000001002,3012501,Maps to,1970-01-01,2099-12-31,
2000020484,38001451,Maps to,1970-01-01,2099-12-31,
2000003019,4049832,Maps to,1970-01-01,2099-12-31,
2000001850,4148512,Maps to,1970-01-01,2099-12-31,
2000010888,918172,Maps to,1970-01-01,2099-12-31,
2000001862,4150083,Maps to,1970-01-01,2099-12-31,
2000003007,4013636,Maps to,1970-01-01,2099-12-31,
2000030048,21490854,Maps to,1970-01-01,2099-12-31,
2000001053,3025478,Maps to,1970-01-01,2099-12-31,
2000004114,4195428,Maps to,1970-01-01,2099-12-31,
2000030123,3017594,Maps to,1970-01-01,2099-12-31,
2000030088,3003396,Maps to,1970-01-01,2099-12-31,
2000010731,40076078,Maps to,1970-01-01,2099-12-31,
2000001230,3012986,Maps to,1970-01-01,2099-12-31,
2000026261,4239825,Maps to,1970-01-01,2099-12-31,
2000020363,38001392,Maps to,1970-01-01,2099-12-31,
2000011231,968426,Maps to,1970-01-01,2099-12-31,
2000020044,38001265,Maps to,1970-01-01,2099-12-31,
2000010945,40222972,Maps to,1970-01-01,2099-12-31,
2000002091,4269621,Maps to,1970-01-01,2099-12-31,
2000010156,19072944,Maps to,1970-01-01,2099-12-31,
2000020549,38000978,Maps to,1970-01-01,2099-12-31,
2000020252,38001001,Maps to,1970-01-01,2099-12-31,
2000020047,38001372,Maps to,1970-01-01,2099-12-31,
2000010561,19121182,Maps to,1970-01-01,2099-12-31,
2000010463,19116988,Maps to,1970-01-01,2099-12-31,
2000020074,38000969,Maps to,1970-01-01,2099-12-31,
2000011343,1707687,Maps to,1970-01-01,2099-12-31,
2000020905,38001559,Maps to,1970-01-01,2099-12-31,
2000026009,4018788,Maps to,1970-01-01,2099-12-31,
2000011228,989486,Maps to,1970-01-01,2099-12-31,
2000010923,19102209,Maps to,1970-01-01,2099-12-31,
2000001032,3009383,Maps to,1970-01-01,2099-12-31,
2000030109,3042347,Maps to,1970-01-01,2099-12-31,
2000001071,3027008,Maps to,1970-01-01,2099-12-31,
2000001080,3024936,Maps to,1970-01-01,2099-12-31,
2000020425,38001286,Maps to,1970-01-01,2099-12-31,
2000010329,42708126,Maps to,1970-01-01,2099-12-31,
2000010883,1551865,Maps to,1970-01-01,2099-12-31,
2000011383,46275282,Maps to,1970-01-01,2099-12-31,
2000029012,8512,Maps to,1970-01-01,2099-12-31,
